Stn Id,Station,Region,Date,DayofYear,CIMIS Eto,Precip,SolRatio,Avg Vap,Max Air Temp ,Min Air Temp,Avg Air Temp,Max Rel Hum,Min Rel Hum,Avg Rel Hum,Dew Pt ,Avg wSpd,Wnd Run,Avg Soil Temp
6,Davis,Sacramento Valley,01/01/2001,1.00,0.05,0.00,0.64,7.70,60.90,30.20,42.00,100.00,49.00,85.00,37.80,2.00,48.80,43.80
6,Davis,Sacramento Valley,02/01/2001,2.00,0.05,0.00,0.66,7.40,55.50,25.80,39.00,100.00,71.00,92.00,36.80,2.40,58.50,43.50
6,Davis,Sacramento Valley,03/01/2001,3.00,0.06,0.01,0.67,7.30,65.20,29.60,43.20,100.00,38.00,76.00,36.30,2.70,65.50,43.50
6,Davis,Sacramento Valley,04/01/2001,4.00,0.06,0.00,0.67,6.90,62.60,26.90,42.20,99.00,42.00,76.00,35.10,3.10,73.80,43.30
6,Davis,Sacramento Valley,05/01/2001,5.00,0.06,0.00,0.67,7.00,64.00,27.60,43.10,95.00,41.00,74.00,35.40,3.50,83.90,43.00
6,Davis,Sacramento Valley,06/01/2001,6.00,0.05,0.00,0.59,7.50,61.80,30.50,42.40,100.00,51.00,82.00,37.20,2.70,66.20,43.50
6,Davis,Sacramento Valley,07/01/2001,7.00,0.02,0.10,0.29,7.80,50.60,31.50,42.10,96.00,72.00,86.00,38.10,3.10,75.60,43.10
6,Davis,Sacramento Valley,08/01/2001,8.00,0.01,0.55,0.20,10.70,55.00,40.20,47.20,99.00,89.00,96.00,46.30,5.00,120.60,44.80
6,Davis,Sacramento Valley,09/01/2001,9.00,0.01,0.01,0.24,9.00,50.70,33.10,43.70,99.00,74.00,93.00,41.80,6.70,162.30,44.40
6,Davis,Sacramento Valley,10/01/2001,10.00,0.00,0.67,0.05,9.90,50.10,38.30,46.10,99.00,90.00,93.00,44.30,10.30,249.00,44.70
6,Davis,Sacramento Valley,11/01/2001,11.00,0.02,0.24,0.15,9.40,51.10,41.60,46.60,96.00,74.00,87.00,42.80,9.30,224.70,44.90
6,Davis,Sacramento Valley,12/01/2001,12.00,0.05,0.04,0.57,9.00,58.40,39.40,46.50,96.00,58.00,83.00,41.70,6.50,156.80,45.40
6,Davis,Sacramento Valley,13/01/2001,13.00,0.04,0.00,0.51,9.50,58.10,39.00,47.70,98.00,63.00,84.00,43.20,3.80,91.70,45.80
6,Davis,Sacramento Valley,14/01/2001,14.00,0.07,0.00,0.61,7.70,52.70,39.50,45.40,95.00,58.00,74.00,37.70,10.10,243.20,46.00
6,Davis,Sacramento Valley,15/01/2001,15.00,0.12,0.00,0.64,5.80,53.30,38.60,45.00,67.00,40.00,57.00,30.70,16.20,391.50,44.70
6,Davis,Sacramento Valley,16/01/2001,16.00,0.11,0.00,0.65,5.10,52.10,36.30,42.60,66.00,39.00,54.00,27.30,15.20,366.40,43.50
6,Davis,Sacramento Valley,17/01/2001,17.00,0.08,0.00,0.66,4.80,53.30,32.30,41.50,79.00,32.00,54.00,26.00,7.80,187.40,43.00
6,Davis,Sacramento Valley,18/01/2001,18.00,0.04,0.00,0.53,6.30,53.10,26.40,40.00,95.00,49.00,75.00,32.80,2.20,52.80,42.30
